Snake#,Can#,Flight,Jday,date,OpenTime,CloseTime,Julian Open Time,Julian Closing Time,Jopen time Progressive,J close time Progressive,Latitude,Longitude,AltP_feet,AltP_meters,Radaralt_ft,Radaralt_m,SARP Year,Weather,Comments,H2 (ppbv)mult by 1.6,CH4 (ppmv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),H-2402 (D),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),HFC-227ea (MS),HCFC-124 (MS),HFC-365mfc (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),1-Pentene,Isoprene (E/B),"1,3-Butadiene (B)",n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)",2-Methylheptane (B),3-Methylheptane (B),"2,2,4-Trimethylpentane (B)",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane (B),Methylcylohexane (B),Benzene (E/MS),Toluene (B),Ethylbenzene (MS),m-Xylene (MS),p-Xylene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS),EtCl (MS),Acetaldehyde (MS),Butanal (MS),Acetone (MS),Butanone (MS),Methanol (MS),Ethanol (MS),,,,,,,,,
5722,8188,SARP_2,198,7/17/19,16:54:00,16:54:31,43663.7042,43663.7045,43663.7042,43663.7045,33.517,-116.050,1200,,,,2019,,,,,,,651,23.8,508.0,228.1,70.54,16.22,3.418,3.519,0.3992,16.72,118.4,271.5,23.77,27.18,,,1.446,12.12,1.756,77.5,59.74,0.544,1.560,649,6.50,1.692,1.414,0.627,1.484,4.983,11.70,8.201,1.777,3.617,0.348,1.877,0.472,0.412,0.187,614,49,38,258,15,14,27,0,3,0,0,25,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,0,15,16,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,2.96,,24,,219,,,,,,,,,,,
5502,9455,SARP_1,197,7/16/19,21:51:00,21:51:43,43662.9104,43662.9109,43662.9104,43662.9109,36.267,-119.217,1500,,,,2019,,,,,,,635,4.1,506.2,228.0,70.93,16.72,3.414,3.378,0.3999,17.93,128.1,270.2,23.74,27.05,,,1.226,13.04,1.747,77.70,61.85,0.283,1.384,558,8.07,0.389,0.548,0.315,0.527,0.310,16.48,6.781,1.378,2.460,0.448,1.507,0.249,0.377,0.488,491,30,35,183,9,81,30,0,0,0,0,48,17,0,19,0,6,0,0,6,0,3,0,9,6,0,0,0,,,,5,0,6,3,0,8,16,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,2.23,,50,,73,,,,,,,,,,,
2711,4098,SARP_1,197,7/16/19,22:46:00,22:46:41,43662.9486,43662.9491,43662.9486,43662.9491,37.233,-120.867,9730,,,,2019,,,,,,,601,0.0,513.5,229.4,71.22,16.63,3.460,3.344,0.4003,9.20,112.0,259.2,23.38,25.72,,,1.214,12.99,1.739,77.40,75.50,0.231,1.495,540,6.59,0.113,0.627,0.275,0.312,0.221,20.53,4.328,0.983,1.181,0.178,0.509,0.059,0.053,0.063,653,14,40,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,10,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1.97,,67,,47,,,,,,,,,,,
5705,4196,SARP_2,198,7/17/19,16:49:00,16:49:29,43663.7007,43663.7010,43663.7007,43663.7010,33.283,-115.733,1000,,,,2019,,,,,,,625,56.1,516.4,228.0,70.56,16.84,3.398,3.287,0.4003,12.01,122.4,265.5,22.73,26.27,,,1.360,14.40,1.779,78.20,60.01,0.448,1.747,672,6.94,2.221,1.630,0.679,1.884,5.857,10.72,9.911,2.461,4.981,0.805,3.453,0.421,0.528,0.807,599,82,67,504,18,22,48,0,6,0,0,122,32,0,0,0,0,0,0,0,0,0,4,11,5,0,0,0,,,,7,0,5,4,0,22,26,0,,,4,0,0,0,0,0,0,0,0,0,,0,0,4.58,,62,,158,,,,,,,,,,,
1402,6294,SARP_2,198,7/17/19,17:54:00,17:55:20,43663.7458,43663.7468,43663.7458,43663.7468,34.833,-117.767,37000,,,,2019,,,,,,,611,0.0,505.9,227.5,68.91,15.97,3.243,3.247,0.4003,7.82,107.6,255.0,21.96,25.02,,,1.277,26.88,1.858,77.3,95.04,0.411,1.776,834,6.54,0.192,0.649,0.309,0.469,,38.99,3.384,1.150,2.640,0.436,2.262,0.317,0.356,0.450,617,23,77,101,33,8,20,0,9,0,0,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,18,4,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,2.57,,161,,222,,,,,,,,,,,
1004,7992,SARP_1,197,7/16/19,19:36:00,19:36:42,43662.8167,43662.8172,43662.8167,43662.8172,36.217,-116.983,9541,,,,2019,,,,,,,593,0.0,506.9,230.8,70.49,16.38,3.507,3.482,0.4005,13.03,114.3,250.3,22.07,24.59,,,1.332,14.10,1.769,80.10,70.93,0.318,1.654,556,6.91,0.254,0.849,0.299,0.442,0.226,17.91,5.175,1.149,2.005,0.325,1.241,0.343,0.536,0.120,607,31,45,148,5,11,20,0,5,0,0,15,9,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,10,4,0,,,0,0,0,0,0,0,0,0,0,0,,8,0,3.83,,71,,150,,,,,,,,,,,
1002,7245,SARP_1,197,7/16/19,19:24:00,19:24:40,43662.8083,43662.8088,43662.8083,43662.8088,35.467,-117.650,4361,,,,2019,,,,,,,599,1.4,508.6,236.3,71.47,16.88,3.608,3.520,0.4007,17.01,117.9,256.0,22.88,24.53,,,1.333,11.73,1.753,78.90,65.46,0.336,1.706,552,6.98,0.519,0.548,0.315,0.633,0.204,14.69,5.086,1.274,2.214,0.401,1.683,0.295,0.431,0.582,614,33,47,200,10,24,39,0,0,0,0,33,16,0,10,0,6,19,0,0,0,0,0,6,4,0,0,0,,,,4,0,4,0,0,9,13,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,2.03,,39,,79,,,,,,,,,,,
1003,7187,SARP_1,197,7/16/19,19:30:00,19:30:34,43662.8125,43662.8129,43662.8125,43662.8129,35.817,-117.317,4200,,,,2019,,,,,,,584,0.0,505.4,237.0,71.48,16.67,3.605,3.667,0.4007,18.53,121.1,253.8,22.19,25.75,,,1.323,14.52,1.778,80.60,73.28,0.366,1.584,529,6.95,0.520,0.549,0.341,0.486,0.276,13.83,5.407,1.472,3.050,0.492,1.926,0.366,0.502,0.693,668,32,62,252,9,22,37,0,0,0,0,32,17,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,14,10,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,2.09,,34,,35,,,,,,,,,,,
4924,7366,SARP_3,198,7/17/19,21:46:00,21:46:19,43663.9069,43663.9072,43663.9069,43663.9072,31.033,-121.517,381,,,,2019,,,,,,,586,42.9,507.2,226.1,70.40,16.65,3.293,3.303,0.4008,9.70,111.0,258.7,23.34,26.79,,,1.507,14.76,1.762,77.30,66.81,0.509,1.309,529,6.44,1.323,1.060,0.252,0.488,0.847,19.52,8.821,1.689,1.297,0.340,0.805,0.001,0.001,0.001,576,68,29,26,30,0,5,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,0,11,3,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1.81,,73,,120,,,,,,,,,,,
5701,4183,SARP_2,198,7/17/19,16:24:00,16:24:31,43663.6833,43663.6837,43663.6833,43663.6837,33.667,-116.600,9947,,,,2019,,,,,,,641,0.0,511.7,230.1,70.35,17.24,3.369,3.416,0.401,8.96,111.4,260.8,23.40,25.29,,,1.021,11.14,1.700,77.40,68.16,0.101,1.263,607,6.52,0.109,0.543,0.242,0.457,0.286,18.81,4.059,0.648,0.607,0.129,0.331,0.064,0.060,0.069,434,6,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,7,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1.75,,41,,84,,,,,,,,,,,
